Name,Well,"Fluor:530/25,590/35"
MBNL2_s19767_unstim,A1,199
MBNL2_s19768_unstim,B1,221
AKAP1_s15665_unstim,C1,213
AKAP1_s15666_unstim,D1,203
PNRC2_s31122_unstim,E1,217
water_unstim,F1,213
,G1,2
,H1,4
MBNL2_s19767_unstim,A2,197
MBNL2_s19768_unstim,B2,244
AKAP1_s15665_unstim,C2,278
AKAP1_s15666_unstim,D2,254
PNRC2_s31122_unstim,E2,245
water_unstim,F2,245
,G2,3
,H2,3
MBNL2_s19767_unstim,A3,207
MBNL2_s19768_unstim,B3,228
AKAP1_s15665_unstim,C3,249
AKAP1_s15666_unstim,D3,267
PNRC2_s31122_unstim,E3,244
water_unstim,F3,229
,G3,4
,H3,4
MBNL2_s19767_unstim,A4,213
MBNL2_s19768_unstim,B4,245
AKAP1_s15665_unstim,C4,241
AKAP1_s15666_unstim,D4,262
PNRC2_s31122_unstim,E4,237
water_unstim,F4,259
,G4,2
,H4,2
MBNL2_s19767_unstim,A5,244
MBNL2_s19768_unstim,B5,234
AKAP1_s15665_unstim,C5,257
AKAP1_s15666_unstim,D5,255
PNRC2_s31122_unstim,E5,241
water_unstim,F5,245
,G5,3
,H5,3
MBNL2_s19767_unstim,A6,252
MBNL2_s19768_unstim,B6,240
AKAP1_s15665_unstim,C6,240
AKAP1_s15666_unstim,D6,260
PNRC2_s31122_unstim,E6,240
water_unstim,F6,256
,G6,2
,H6,3
MBNL2_s19767_stim,A7,245
MBNL2_s19768_stim,B7,262
AKAP1_s15665_stim,C7,272
AKAP1_s15666_stim,D7,275
PNRC2_s31122_stim,E7,271
water_stim,F7,275
,G7,4
,H7,3
MBNL2_s19767_stim,A8,261
MBNL2_s19768_stim,B8,262
AKAP1_s15665_stim,C8,253
AKAP1_s15666_stim,D8,260
PNRC2_s31122_stim,E8,271
water_stim,F8,274
,G8,4
,H8,4
MBNL2_s19767_stim,A9,270
MBNL2_s19768_stim,B9,277
AKAP1_s15665_stim,C9,265
AKAP1_s15666_stim,D9,294
PNRC2_s31122_stim,E9,265
water_stim,F9,282
mediaOnly,G9,149
mediaOnly,H9,148
MBNL2_s19767_stim,A10,269
MBNL2_s19768_stim,B10,278
AKAP1_s15665_stim,C10,276
AKAP1_s15666_stim,D10,272
PNRC2_s31122_stim,E10,264
water_stim,F10,261
mediaOnly,G10,147
mediaOnly,H10,147
MBNL2_s19767_stim,A11,242
MBNL2_s19768_stim,B11,259
AKAP1_s15665_stim,C11,266
AKAP1_s15666_stim,D11,269
PNRC2_s31122_stim,E11,259
water_stim,F11,289
mediaOnly,G11,160
mediaOnly,H11,145
MBNL2_s19767_stim,A12,239
MBNL2_s19768_stim,B12,302
AKAP1_s15665_stim,C12,302
AKAP1_s15666_stim,D12,309
PNRC2_s31122_stim,E12,310
water_stim,F12,286
mediaOnly,G12,144
mediaOnly,H12,140