target,siRNA,stim,Well,OD_450,OD_540,OD_570,viability_24,viability_48,corrected,loganswer,conc,below,above,batch
ELAVL1,s4610e,unstim,A1,0.722,0.05,0.045,159,340,0.6719999999999999,1.7292141710892588,35.99112948849519,FALSE,FALSE,E
ELAVL1,s4610e,unstim,A2,0.717,0.05,0.044,194,2691,0.6669999999999999,1.7442057759700607,37.87389117506655,FALSE,FALSE,E
ELAVL1,s4610e,unstim,A3,0.536,0.047,0.043,201,2968,0.48900000000000005,2.2610892993764495,164.81211148535317,FALSE,FALSE,E
ELAVL1,s4610e,unstim,A4,0.524,0.047,0.044,213,3202,0.47700000000000004,2.2963551127503536,180.24371700477153,FALSE,FALSE,E
ELAVL1,s4610e,unstim,A5,0.502,0.046,0.042,262,4045,0.456,2.3586580278887364,210.76501314221323,FALSE,FALSE,E
ELAVL1,s4610e,unstim,A6,0.499,0.045,0.041,255,3817,0.454,2.3646355849777705,213.9301293203849,FALSE,FALSE,E
ELAVL1,s4610e,stim,A7,0.197,0.042,0.041,255,3972,0.155,3.4616817307700223,2877.6061050676635,FALSE,FALSE,E
ELAVL1,s4610e,stim,A8,0.212,0.043,0.042,241,3699,0.16899999999999998,3.394524732167911,2462.8022228345067,FALSE,FALSE,E
ELAVL1,s4610e,stim,A9,0.211,0.044,0.042,228,3496,0.16699999999999998,3.4039613045229125,2517.287796101869,FALSE,FALSE,E
ELAVL1,s4610e,stim,A10,0.22,0.042,0.041,267,3917,0.178,3.352677192248378,2234.949310587622,FALSE,FALSE,E
ELAVL1,s4610e,stim,A11,0.238,0.045,0.043,245,3706,0.193,3.2850544016514682,1910.15141318808,FALSE,FALSE,E
ELAVL1,s4610e,stim,A12,0.25,0.052,0.051,243,3576,0.198,3.263068115397629,1814.986862411252,FALSE,FALSE,E
HNRNPL,s6740,unstim,B1,0.474,0.046,0.043,203,3176,0.428,2.4431509100066693,259.81342996690927,FALSE,FALSE,E
HNRNPL,s6740,unstim,B2,0.484,0.047,0.043,219,3651,0.437,2.4157936583742945,242.87659562543647,FALSE,FALSE,E
HNRNPL,s6740,unstim,B3,0.491,0.047,0.043,234,4100,0.444,2.3946503175269704,230.49849022588296,FALSE,FALSE,E
HNRNPL,s6740,unstim,B4,0.53,0.047,0.043,233,3909,0.48300000000000004,2.278694631070072,172.359237509674,FALSE,FALSE,E
HNRNPL,s6740,unstim,B5,0.532,0.048,0.043,236,4043,0.48400000000000004,2.2757566851670137,171.0784237936677,FALSE,FALSE,E
HNRNPL,s6740,unstim,B6,0.541,0.048,0.044,237,3893,0.49300000000000005,2.249381116071881,159.9597453707751,FALSE,FALSE,E
HNRNPL,s6740,stim,B7,0.224,0.043,0.042,244,3811,0.181,3.338945733189753,2164.842222722805,FALSE,FALSE,E
HNRNPL,s6740,stim,B8,0.228,0.043,0.042,258,3800,0.185,3.3208007588780264,2075.536995539799,FALSE,FALSE,E
HNRNPL,s6740,stim,B9,0.221,0.043,0.042,256,4107,0.178,3.352677192248378,2234.949310587622,FALSE,FALSE,E
HNRNPL,s6740,stim,B10,0.219,0.041,0.04,253,3828,0.178,3.352677192248378,2234.949310587622,FALSE,FALSE,E
HNRNPL,s6740,stim,B11,0.198,0.043,0.042,260,3897,0.15500000000000003,3.4616817307700223,2877.6061050676635,FALSE,FALSE,E
HNRNPL,s6740,stim,B12,0.222,0.044,0.042,296,3739,0.178,3.352677192248378,2234.949310587622,FALSE,FALSE,E
PEG10,s23005,unstim,C1,0.522,0.047,0.043,196,2738,0.47500000000000003,2.302254874293024,182.94990822228596,FALSE,FALSE,E
PEG10,s23005,unstim,C2,0.545,0.048,0.044,208,3079,0.49700000000000005,2.2376945450209376,155.2450490320393,FALSE,FALSE,E
PEG10,s23005,unstim,C3,0.542,0.05,0.046,218,4020,0.49200000000000005,2.252306090533306,161.15974798271773,FALSE,FALSE,E
PEG10,s23005,unstim,C4,0.539,0.048,0.044,216,3902,0.49100000000000005,2.2552324338427474,162.36842717956915,FALSE,FALSE,E
PEG10,s23005,unstim,C5,0.57,0.048,0.044,217,3775,0.5219999999999999,2.1650710069773633,128.62666050065243,FALSE,FALSE,E
PEG10,s23005,unstim,C6,0.572,0.048,0.044,228,3920,0.5239999999999999,2.1592871653713614,126.69195718741297,FALSE,FALSE,E
PEG10,s23005,stim,C7,0.224,0.043,0.042,231,3791,0.181,3.338945733189753,2164.842222722805,FALSE,FALSE,E
PEG10,s23005,stim,C8,0.217,0.044,0.042,244,3999,0.173,3.3758027828998824,2358.146221285401,FALSE,FALSE,E
PEG10,s23005,stim,C9,0.221,0.044,0.042,239,3948,0.177,3.357278122599898,2258.9399065185303,FALSE,FALSE,E
PEG10,s23005,stim,C10,0.226,0.043,0.041,233,3727,0.183,3.3298501164906606,2119.609398891675,FALSE,FALSE,E
PEG10,s23005,stim,C11,0.188,0.043,0.042,240,3565,0.14500000000000002,3.511302934561989,3228.0443718651977,FALSE,FALSE,E
PEG10,s23005,stim,C12,0.169,0.043,0.042,263,3531,0.126,3.6097647835779,4053.982014669385,FALSE,TRUE,E
scramble,stim,NA,E7,0.197,0.043,0.042,250,4282,0.15400000000000003,3.466579824736678,2910.4440432315882,FALSE,FALSE,E
scramble,stim,NA,E8,0.222,0.044,0.043,249,3909,0.178,3.352677192248378,2234.949310587622,FALSE,FALSE,E
scramble,stim,NA,E9,0.235,0.043,0.041,242,3799,0.192,3.2894839668254656,1929.9141847846297,FALSE,FALSE,E
scramble,stim,NA,E10,0.22,0.043,0.041,236,3970,0.177,3.357278122599898,2258.9399065185303,FALSE,FALSE,E
scramble,stim,NA,E11,0.244,0.043,0.041,251,3512,0.201,3.250003189991675,1760.6775065144195,FALSE,FALSE,E
scramble,stim,NA,E12,0.243,0.044,0.042,264,3349,0.199,3.258702700463761,1796.6582978021474,FALSE,FALSE,E
scramble,unstim,NA,E1,0.498,0.049,0.045,207,2867,0.449,2.379615954350703,222.05629196349076,FALSE,FALSE,E
scramble,unstim,NA,E2,0.5,0.048,0.044,255,4238,0.452,2.3706214044688014,217.14357702819063,FALSE,FALSE,E
scramble,unstim,NA,E3,0.539,0.049,0.045,245,4219,0.49000000000000005,2.2581601640916062,163.58585681620713,FALSE,FALSE,E
scramble,unstim,NA,E4,0.535,0.048,0.044,248,4261,0.48700000000000004,2.2669518574702376,167.29139803239497,FALSE,FALSE,E
scramble,unstim,NA,E5,0.524,0.048,0.044,244,4385,0.47600000000000003,2.2993041638680123,181.591836725992,FALSE,FALSE,E
scramble,unstim,NA,E6,0.52,0.047,0.043,242,4366,0.47300000000000003,2.3081613460996246,185.69625441213725,FALSE,FALSE,E
TRUB1,s44503,unstim,D1,0.45,0.047,0.043,215,3467,0.403,2.520278971556219,313.7289283529307,FALSE,FALSE,E
TRUB1,s44503,unstim,D2,0.471,0.049,0.045,255,4238,0.422,2.4615036204582554,271.7884288438228,FALSE,FALSE,E
TRUB1,s44503,unstim,D3,0.442,0.047,0.043,273,5197,0.395,2.5453503851262265,333.42000635330834,FALSE,FALSE,E
TRUB1,s44503,unstim,D4,0.494,0.046,0.043,236,4524,0.448,2.3826184318512698,223.71899047634167,FALSE,FALSE,E
TRUB1,s44503,unstim,D5,0.489,0.046,0.043,236,4491,0.443,2.3976638778701815,232.22613141590713,FALSE,FALSE,E
TRUB1,s44503,unstim,D6,0.492,0.047,0.043,246,4590,0.445,2.391639011789898,228.78407476377205,FALSE,FALSE,E
TRUB1,s44503,stim,D7,0.208,0.042,0.041,247,4448,0.16599999999999998,3.4086987792162815,2545.0909963023764,FALSE,FALSE,E
TRUB1,s44503,stim,D8,0.226,0.042,0.04,239,4277,0.184,3.3253196919420978,2097.4304242701173,FALSE,FALSE,E
TRUB1,s44503,stim,D9,0.216,0.043,0.041,252,4297,0.173,3.3758027828998824,2358.146221285401,FALSE,FALSE,E
TRUB1,s44503,stim,D10,0.22,0.046,0.045,251,4125,0.174,3.3711533208451727,2332.847502808415,FALSE,FALSE,E
TRUB1,s44503,stim,D11,0.224,0.044,0.043,257,4005,0.18,3.343511073402937,2187.905405387887,FALSE,FALSE,E
TRUB1,s44503,stim,D12,0.197,0.043,0.042,308,4535,0.15400000000000003,3.466579824736678,2910.4440432315882,FALSE,FALSE,E
water,water,unstim,F1,0.547,0.049,0.045,215,3055,0.49800000000000005,2.234776143561636,154.08734676446682,FALSE,FALSE,E
water,water,unstim,F2,0.538,0.048,0.043,238,3796,0.49000000000000005,2.2581601640916062,163.58585681620713,FALSE,FALSE,E
water,water,unstim,F3,0.536,0.048,0.044,250,4170,0.48800000000000004,2.2640198577996844,166.0472665260737,FALSE,FALSE,E
water,water,unstim,F4,0.555,0.048,0.044,245,4013,0.507,2.2085650779028545,144.0310775977517,FALSE,FALSE,E
water,water,unstim,F5,0.522,0.047,0.043,223,3637,0.47500000000000003,2.302254874293024,182.94990822228596,FALSE,FALSE,E
water,water,unstim,F6,0.516,0.048,0.044,243,4014,0.468,2.3229578433484086,192.74245830352646,FALSE,FALSE,E
water,water,stim,F7,0.216,0.044,0.042,259,4246,0.172,3.380464574686405,2383.7854127113983,FALSE,FALSE,E
water,water,stim,F8,0.228,0.044,0.043,258,4111,0.184,3.3253196919420978,2097.4304242701173,FALSE,FALSE,E
water,water,stim,F9,0.212,0.04,0.038,262,3926,0.172,3.380464574686405,2383.7854127113983,FALSE,FALSE,E
water,water,stim,F10,0.228,0.043,0.042,273,4132,0.185,3.3208007588780264,2075.536995539799,FALSE,FALSE,E
water,water,stim,F11,0.241,0.044,0.042,252,3629,0.197,3.2674440566093996,1833.5454572563317,FALSE,FALSE,E
water,water,stim,F12,0.267,0.044,0.043,236,2982,0.22300000000000003,3.156928780281095,1417.639082074249,FALSE,FALSE,E
